"2022/11/01¡@Short Sales Volume and Value"
,"Margin Short Sales",,"SBL Short Sales",,
"Security Code","Trading Volume","Trading Value","Trading Volume","Trading Value",
"2408","16","871,500","1,277","69,287,000",
"2409","2,357","41,003,150","1,854","32,152,150",
"2412","0","0","399","43,830,500",
"2413","74","1,925,200","21","548,750",
"2414","0","0","0","0",
"2415","0","0","0","0",
"2417","0","0","0","0",
"2419","19","477,200","0","0",
"2420","0","0","1","38,050",
"2421","20","804,650","30","1,206,400",
"2423","0","0","0","0",
"2424","0","0","0","0",
"2425","1","24,300","0","0",
"2426","6","91,400","0","0",
"2427","0","0","0","0",
"2428","0","0","1","118,000",
"2429","0","0","0","0",
"2430","0","0","1","41,550",
"2431","0","0","0","0",
"2433","0","0","0","0",
"2434","0","0","0","0",
"2436","61","2,608,550","74","3,150,250",
"2438","0","0","0","0",
"2439","12","959,100","29","2,323,200",
"2440","0","0","0","0",
"2441","0","0","178","8,305,100",
"2442","0","0","0","0",
"2443","0","0","0","0",
"2444","0","0","0","0",
"2449","36","1,178,300","221","7,243,650",
"2450","0","0","0","0",
"2451","0","0","8","520,000",
"2453","0","0","0","0",
"2454","94","56,360,000","259","154,927,000",
"2455","38","2,183,500","20","1,146,300",
"2457","33","1,194,900","35","1,267,700",
"2458","71","5,789,300","1","81,400",
"2459","0","0","0","0",
"2460","8","123,200","15","230,850",
"2461","0","0","3","54,750",
"2462","0","0","1","24,400",
"2464","0","0","1","36,150",
"2465","130","4,860,350","22","812,800",
"2466","0","0","0","0",
"2467","1","43,300","1","44,200",
"2468","380","8,206,400","2","41,900",
"2471","0","0","0","0",
"2472","0","0","0","0",
"2474","8","1,368,000","12","2,048,500",
"2476","9","399,050","0","0",
"2477","0","0","0","0",
"2478","0","0","0","0",
"2480","0","0","0","0",
"2481","86","4,808,500","33","1,844,200",
"2482","29","641,250","0","0",
"2483","0","0","4","94,850",
"2484","13","388,450","0","0",
"2485","3","50,400","0","0",
"2486","6","102,500","0","0",
"2488","0","0","0","0",
"2489","14","130,760","3","28,090",
"2491","0","0","0","0",
"2492","208","16,773,200","70","5,639,900",
"2493","0","0","0","0",
"2495","12","207,400","51","877,750",
"2496","0","0","0","0",
"2497","106","6,739,200","0","0",
"2498","318","16,023,800","30","1,510,800",
"2501","0","0","1","14,550",
"2504","16","372,350","242","5,595,050",
"2505","0","0","0","0",
"2506","0","0","0","0",
"2509","0","0","0","0",
"2511","0","0","40","415,100",
"2514","0","0","0","0",
"2515","1","8,050","111","893,590",
"2516","0","0","0","0",
"2520","0","0","5","121,350",
"2524","0","0","0","0",
"2527","0","0","0","0",
"2528","0","0","0","0",
"2530","133","2,372,450","0","0",
"2534","30","739,500","18","443,250",
"2535","0","0","0","0",
"2536","0","0","2","45,000",
"2537","1","6,910","39","270,420",
"2538","2","22,350","0","0",
"2539","0","0","14","440,250",
"2540","0","0","0","0",
"2542","28","1,157,900","126","5,215,250",
"2543","0","0","0","0",
"2545","0","0","0","0",
"2546","0","0","0","0",
"2547","0","0","0","0",
"2548","0","0","42","3,601,600",
"2597","0","0","2","181,500",
"2601","5","40,180","19","152,600",
"2603","820","111,210,500","1,505","204,834,500",
"2605","13","227,400","213","3,740,600",
"2606","8","281,300","153","5,385,100",
"2607","26","689,500","20","534,900",
"2608","0","0","42","1,510,150",
"2609","1,040","61,632,900","5,297","317,026,500",
"2610","146","2,484,650","18","303,750",
"2611","1","12,200","0","0",
"2612","5","158,650","27","856,250",
"2613","9","184,100","0","0",
"2614","149","3,229,600","222","4,743,800",
"2615","398","26,497,800","314","21,090,600",
"2616","0","0","0","0",
"2617","3","69,400","58","1,342,350",
"2618","200","4,717,850","0","0",
"2630","0","0","0","0",
"2633","1","27,900","0","0",
"2634","14","445,650","0","0",
"2636","41","2,498,400","17","1,039,200",
"2637","78","4,013,400","979","50,452,200",
"2642","7","309,800","8","353,800",
"2701","0","0","0","0",
"2702","14","301,300","6","129,000",
"2704","0","0","0","0",
"2705","0","0","0","0",
"2706","0","0","0","0",
"2707","2","360,000","1","180,000",
"2712","0","0","0","0",
"2722","0","0","0","0",
"2723","0","0","43","4,195,500",
"2727","6","749,000","11","1,373,500",
"2731","22","1,845,200","2","165,200",
"2739","0","0","0","0",
"2748","0","0","0","0",
"2753","1","172,000","10","1,733,500",
"2801","0","0","205","3,413,650",
"2809","5","154,900","7","216,150",
"2812","921","11,499,450","69","861,050",
"2816","2","28,900","0","0",
"2820","0","0","31","443,000",
"2832","0","0","0","0",
"2834","20","240,500","1,481","17,767,200",
"2836","0","0","3","37,200",
"2838","2","30,800","17","263,400",
"2845","1","10,600","227","2,398,000",
"2849","0","0","0","0",
"2850","0","0","14","624,050",
"2851","0","0","500","9,060,800",
"2852","0","0","0","0",
"2855","0","0","1","14,700",
"2867","0","0","2,074","11,322,180",
"2880","7","148,600","307","6,540,250",
"2881","43","2,220,600","688","35,594,600",
"2882","356","13,537,750","3,030","114,922,250",
"2883","106","1,260,150","1,731","20,584,850",
"2884","26","608,600","102","2,386,950",
"2885","1","19,950","1,120","22,334,200",
"2886","2","59,600","2,034","60,848,950",
"2887","15","202,500","1,494","20,160,350",
"2888","47","380,750","2,439","19,694,110",
"2889","3,687","40,494,450","835","9,124,450",
"2890","2","32,550","837","13,604,350",
"2891","107","2,233,200","111","2,329,500",
"2892","11","273,850","14","347,200",
"2897","0","0","4","31,950",
"2901","0","0","0","0",
"2903","0","0","15","271,500",
"2904","0","0","0","0",
"2905","0","0","12","171,250",
"2906","0","0","11","161,700",
"2908","0","0","9","182,900",
"2910","0","0","0","0",
"2911","0","0","0","0",
"2912","2","537,500","0","0",
"2913","0","0","13","267,650",
"2915","0","0","0","0",
"2923","0","0","0","0",
"2929","0","0","0","0",
"2939","0","0","0","0",
"2945","0","0","0","0",
"3002","0","0","1","11,650",
"3003","2","139,200","7","486,300",
"3004","0","0","0","0",
"3005","0","0","0","0",
"3006","96","6,039,800","132","8,251,400",
"3008","5","9,325,000","19","35,110,000",
"3010","0","0","1","80,300",
"3011","0","0","0","0",
"3013","0","0","0","0",
"3014","4","240,400","1","59,900",
"3015","0","0","3","111,200",
"3016","1","69,400","1","68,800",
"3017","28","2,859,000","8","822,500",
"3018","0","0","0","0",
"3019","1","57,800","1","57,900",
"3021","0","0","2","43,900",
"3022","8","427,700","7","376,400",
"3023","0","0","47","11,809,000",
"3024","0","0","1","12,600",
"3025","3","62,100","0","0",
"3026","0","0","0","0",
"3027","22","503,650","36","806,100",
"3028","0","0","3","77,200",
"3029","0","0","0","0",
"3030","0","0","0","0",
"3031","0","0","0","0",
"3032","0","0","0","0",
"3033","1","25,500","96","2,436,650",
"3034","34","8,299,500","47","11,404,500",
"3035","282","40,791,000","149","21,340,000",
"3036","8","466,400","0","0",
"3037","250","31,142,000","649","80,928,000",
"3038","0","0","1","19,750",
"3040","0","0","0","0",
"3041","3","54,200","2","36,400",
"3042","8","612,600","30","2,301,500",
"3043","0","0","0","0",
"3044","0","0","9","806,600",
"3045","0","0","47","4,460,400",
"3046","139","7,163,000","1","51,400",
"3047","133","2,005,800","33","504,650",
"3048","0","0","17","467,150",
"3049","53","495,900","0","0",
"3050","30","471,500","0","0",
"3051","7","119,000","1","17,200",
"3052","0","0","0","0",
"3054","0","0","0","0",
"3055","0","0","0","0",
"3056","0","0","1","29,700",
"3057","0","0","0","0",
"3058","0","0","0","0",
"3059","30","1,013,000","107","3,602,800",
"3060","0","0","2","32,400",
"3062","19","422,850","4","89,200",
"3090","0","0","11","532,350",
"3092","0","0","6","206,400",
"3094","0","0","0","0",
"3130","0","0","0","0",
"3138","0","0","25","3,147,000",
"3149","0","0","0","0",
"3164","1","21,350","0","0",
"3167","0","0","0","0",
"3189","57","6,019,500","38","3,993,000",
"3209","15","461,750","5","154,250",
"3229","0","0","0","0",
"3231","3","78,200","26","678,850",
"3257","0","0","1","37,300",
"3266","0","0","0","0",
"3296","2","33,050","1","15,900",
"3305","1","37,950","1","37,300",
"3308","0","0","0","0",
"3311","0","0","0","0",
"3312","0","0","4","69,550",
"3321","0","0","0","0",
"3338","2","63,250","0","0",
"3346","3","87,500","0","0",
"3356","150","5,222,000","10","337,450",
"3376","0","0","0","0",
"3380","4","108,200","18","494,950",
"3406","47","14,238,500","13","3,888,500",
"3413","21","3,539,500","4","678,500",
"3416","0","0","0","0",
"3419","0","0","0","0",
"3432","7","121,400","7","121,600",
"3437","0","0","3","49,250",
"3443","68","33,175,500","66","31,868,500",
"3450","0","0","13","459,950",
"3454","437","62,442,500","1","139,000",
"3481","2,308","28,394,750","3,109","38,067,350",
"3494","0","0","0","0",
"3501","0","0","0","0",
"3504","74","5,549,900","38","2,837,300",
"3515","15","1,467,300","4","389,700",
"3518","2","40,100","0","0",
"3528","0","0","0","0",
"3530","1","68,900","0","0",
"3532","22","3,192,500","0","0",
"3533","0","0","0","0",
"3535","13","331,750","0","0",
"3536","0","0","0","0",
"3543","0","0","0","0",
"3545","63","4,286,600","117","7,971,300",
"3550","0","0","0","0",
"3557","0","0","0","0",
"3563","0","0","1","118,500",
"3576","0","0","0","0",
"3583","1","63,300","1","63,200",
"3588","49","2,758,000","4","223,000",
"3591","0","0","1","14,200",
"3592","1","234,000","51","12,024,500",
"3593","0","0","0","0",
"3596","3","272,200","5","453,000",
"3605","1","30,500","0","0",
"3607","0","0","0","0",
"3617","24","2,233,100","2","188,200",
"3622","0","0","15","389,250",
"3645","0","0","2","61,200",
"3652","0","0","0","0",
"3653","44","15,705,500","0","0",
"3661","157","104,218,000","9","5,978,000",
"3665","6","1,495,000","0","0",
"3669","0","0","1","40,150",
"3673","5","144,150","1","28,800",
"3679","0","0","0","0",
"3682","0","0","0","0",
